constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Dublin,1,ciaran cuffe,Ciarán Cuffe,FALSE,GP,"63,849",running,4,72790,379292,363947,15345,884118
Dublin,1,frances fitzgerald,Frances Fitzgerald,FALSE,FG,"59,067",running,4,72790,379292,363947,15345,884118
Dublin,1,barry andrews,Barry Andrews,FALSE,FF,"51,420",running,4,72790,379292,363947,15345,884118
Dublin,1,clare daly,Clare Daly,FALSE,I4C,"42,305",running,4,72790,379292,363947,15345,884118
Dublin,1,lynn boylan,Lynn Boylan,TRUE,SF,"39,387",running,4,72790,379292,363947,15345,884118
Dublin,1,gary gannon,Gary Gannon,FALSE,SD,"20,331",running,4,72790,379292,363947,15345,884118
Dublin,1,alex white,Alex White,FALSE,LAB,"18,293",running,4,72790,379292,363947,15345,884118
Dublin,1,mark durkan,Mark Durkan,FALSE,FG,"16,473",running,4,72790,379292,363947,15345,884118
Dublin,1,gillian brien,Gillian Brien,FALSE,PBP,"10,864",running,4,72790,379292,363947,15345,884118
Dublin,1,alicemary higgins,Alice-Mary Higgins,FALSE,IND,"10,846",running,4,72790,379292,363947,15345,884118
Dublin,1,ben gilroy,Ben Gilroy,FALSE,IND,"7,594",running,4,72790,379292,363947,15345,884118
Dublin,1,gemma odoherty,Gemma O'Doherty,FALSE,IND,"6,659",running,4,72790,379292,363947,15345,884118
Dublin,1,rita harrold,Rita Harrold,FALSE,SOL,"4,967",running,4,72790,379292,363947,15345,884118
Dublin,1,eilis ryan,Éilis Ryan,FALSE,WP,"3,701",running,4,72790,379292,363947,15345,884118
Dublin,1,eamon murphy,Eamonn Murphy,FALSE,IND,"2,519",running,4,72790,379292,363947,15345,884118
Dublin,1,hermann kelly,Hermann Kelly,FALSE,IND,"2,441",running,4,72790,379292,363947,15345,884118
Dublin,1,aisling mcniffe,Aisling McNiffe,FALSE,IND,"1,572",running,4,72790,379292,363947,15345,884118
Dublin,1,mark mullan,Mark Mullan,FALSE,IND,932,running,4,72790,379292,363947,15345,884118
Dublin,1,tony boscolowth,Tony Bosco Lowth,FALSE,IND,727,eliminated,4,72790,379292,363947,15345,884118
Dublin,2,ciaran cuffe,Ciarán Cuffe,FALSE,GP,"63,895",running,4,72790,379292,363947,15345,884118
Dublin,2,frances fitzgerald,Frances Fitzgerald,FALSE,FG,"59,089",running,4,72790,379292,363947,15345,884118
Dublin,2,barry andrews,Barry Andrews,FALSE,FF,"51,446",running,4,72790,379292,363947,15345,884118
Dublin,2,clare daly,Clare Daly,FALSE,I4C,"42,344",running,4,72790,379292,363947,15345,884118
Dublin,2,lynn boylan,Lynn Boylan,TRUE,SF,"39,428",running,4,72790,379292,363947,15345,884118
Dublin,2,gary gannon,Gary Gannon,FALSE,SD,"20,360",running,4,72790,379292,363947,15345,884118
Dublin,2,alex white,Alex White,FALSE,LAB,"18,312",running,4,72790,379292,363947,15345,884118
Dublin,2,mark durkan,Mark Durkan,FALSE,FG,"16,488",running,4,72790,379292,363947,15345,884118
Dublin,2,gillian brien,Gillian Brien,FALSE,PBP,"10,896",running,4,72790,379292,363947,15345,884118
Dublin,2,alicemary higgins,Alice-Mary Higgins,FALSE,IND,"10,867",running,4,72790,379292,363947,15345,884118
Dublin,2,ben gilroy,Ben Gilroy,FALSE,IND,"7,627",running,4,72790,379292,363947,15345,884118
Dublin,2,gemma odoherty,Gemma O'Doherty,FALSE,IND,"6,689",running,4,72790,379292,363947,15345,884118
Dublin,2,rita harrold,Rita Harrold,FALSE,SOL,"4,999",running,4,72790,379292,363947,15345,884118
Dublin,2,eilis ryan,Éilis Ryan,FALSE,WP,"3,722",running,4,72790,379292,363947,15345,884118
Dublin,2,eamon murphy,Eamonn Murphy,FALSE,IND,"2,575",running,4,72790,379292,363947,15345,884118
Dublin,2,hermann kelly,Hermann Kelly,FALSE,IND,"2,473",running,4,72790,379292,363947,15345,884118
Dublin,2,aisling mcniffe,Aisling McNiffe,FALSE,IND,"1,641",running,4,72790,379292,363947,15345,884118
Dublin,2,mark mullan,Mark Mullan,FALSE,IND,969,eliminated,4,72790,379292,363947,15345,884118
Dublin,2,tony boscolowth,Tony Bosco Lowth,FALSE,IND,,eliminated,4,72790,379292,363947,15345,884118
Dublin,3,ciaran cuffe,Ciarán Cuffe,FALSE,GP,"63,997",running,4,72790,379292,363947,15345,884118
Dublin,3,frances fitzgerald,Frances Fitzgerald,FALSE,FG,"59,135",running,4,72790,379292,363947,15345,884118
Dublin,3,barry andrews,Barry Andrews,FALSE,FF,"51,506",running,4,72790,379292,363947,15345,884118
Dublin,3,clare daly,Clare Daly,FALSE,I4C,"42,391",running,4,72790,379292,363947,15345,884118
Dublin,3,lynn boylan,Lynn Boylan,TRUE,SF,"39,457",running,4,72790,379292,363947,15345,884118
Dublin,3,gary gannon,Gary Gannon,FALSE,SD,"20,398",running,4,72790,379292,363947,15345,884118
Dublin,3,alex white,Alex White,FALSE,LAB,"18,350",running,4,72790,379292,363947,15345,884118
Dublin,3,mark durkan,Mark Durkan,FALSE,FG,"16,534",running,4,72790,379292,363947,15345,884118
Dublin,3,gillian brien,Gillian Brien,FALSE,PBP,"10,918",running,4,72790,379292,363947,15345,884118
Dublin,3,alicemary higgins,Alice-Mary Higgins,FALSE,IND,"10,907",running,4,72790,379292,363947,15345,884118
Dublin,3,ben gilroy,Ben Gilroy,FALSE,IND,"7,648",running,4,72790,379292,363947,15345,884118
