election,constituency,party,votes,seats
2020,Carlow-Kilkenny,AON,0,
2020,Carlow-Kilkenny,FF,26200,2
2020,Carlow-Kilkenny,FG,15502,1
2020,Carlow-Kilkenny,GP,4839,1
2020,Carlow-Kilkenny,INDIRL,0,
2020,Carlow-Kilkenny,IF,0,
2020,Carlow-Kilkenny,IFP,348,
2020,Carlow-Kilkenny,LAB,2206,
2020,Carlow-Kilkenny,NP,0,
2020,Carlow-Kilkenny,PBPS,1518,
2020,Carlow-Kilkenny,RTC,0,
2020,Carlow-Kilkenny,SF,17034,1
2020,Carlow-Kilkenny,SD,0,
2020,Carlow-Kilkenny,IPP,0,
2020,Carlow-Kilkenny,WUA,0,
2020,Carlow-Kilkenny,WP,0,
2020,Carlow-Kilkenny,WUA,0,
2020,Carlow-Kilkenny,Redress,0,
2020,Carlow-Kilkenny,PAW,0,
2020,Carlow-Kilkenny,CEN,0,
2020,Carlow-Kilkenny,LR,0,
2020,Carlow-Kilkenny,IND,3299,
2020,Cavan-Monaghan,,,
2020,Clare,,,
2020,Cork East,,,
2020,Cork North-Central,,,
2020,Cork North-West,AON,3414,
2020,Cork North-West,FF,16724,2
2020,Cork North-West,FG,14578,1
2020,Cork North-West,GP,2489,
2020,Cork North-West,INDIRL,0,
2020,Cork North-West,IF,0,
2020,Cork North-West,IFP,646,
2020,Cork North-West,LAB,575,
2020,Cork North-West,NP,0,
2020,Cork North-West,PBPS,63,
2020,Cork North-West,RTC,0,
2020,Cork North-West,SF,638,
2020,Cork North-West,SD,2084,
2020,Cork North-West,IPP,0,
2020,Cork North-West,WUA,0,
2020,Cork North-West,WP,8,
2020,Cork North-West,WUA,0,
2020,Cork North-West,Redress,0,
2020,Cork North-West,PAW,0,
2020,Cork North-West,CEN,0,
2020,Cork North-West,LR,0,
2020,Cork North-West,IND,475,
2020,Cork South-Central,,,
2020,Cork South-West,AON,466,
2020,Cork South-West,FF,10335,1
2020,Cork South-West,FG,8211,
2020,Cork South-West,GP,1680,
2020,Cork South-West,INDIRL,0,
2020,Cork South-West,IF,0,
2020,Cork South-West,IFP,0,
2020,Cork South-West,LAB,0,
2020,Cork South-West,NP,0,
2020,Cork South-West,PBPS,403,
2020,Cork South-West,RTC,0,
2020,Cork South-West,SF,4403,
2020,Cork South-West,SD,4966,1
2020,Cork South-West,IPP,0,
2020,Cork South-West,WUA,0,
2020,Cork South-West,WP,0,
2020,Cork South-West,WUA,0,
2020,Cork South-West,Redress,0,
2020,Cork South-West,PAW,0,
2020,Cork South-West,CEN,0,
2020,Cork South-West,LR,0,
2020,Cork South-West,IND,13873,1
2020,Donegal,AON,2382,
2020,Donegal,FF,15816,1
2020,Donegal,FG,10677,1
2020,Donegal,GP,1656,
2020,Donegal,INDIRL,0,
2020,Donegal,IF,0,
2020,Donegal,IFP,0,
2020,Donegal,LAB,0,
2020,Donegal,NP,0,
2020,Donegal,PBPS,0,
2020,Donegal,RTC,0,
2020,Donegal,SF,34935,2
2020,Donegal,SD,0,
2020,Donegal,IPP,0,
2020,Donegal,WUA,0,
2020,Donegal,WP,0,
2020,Donegal,WUA,0,
2020,Donegal,RED,0,
2020,Donegal,PAW,0,
2020,Donegal,CEN,0,
2020,Donegal,LR,0,
2020,Donegal,IND,11986,1
2020,Dublin Bay North,,,
2020,Dublin Bay South,,,
2020,Dublin Central,,,
2020,Dublin Fingal East,,,
2020,Dublin Fingal West,AON,0,
2020,Dublin Fingal West,FF,3727,1
2020,Dublin Fingal West,FG,3321,
2020,Dublin Fingal West,GP,3609,1
2020,Dublin Fingal West,INDIRL,0,
2020,Dublin Fingal West,IF,0,
2020,Dublin Fingal West,IFP,0,
2020,Dublin Fingal West,LAB,1436,
2020,Dublin Fingal West,NP,31,
2020,Dublin Fingal West,PBPS,638,
2020,Dublin Fingal West,RTC,0,
2020,Dublin Fingal West,SF,7749,1
2020,Dublin Fingal West,SD,944,
2020,Dublin Fingal West,IPP,0,
2020,Dublin Fingal West,WUA,0,
2020,Dublin Fingal West,WP,0,
2020,Dublin Fingal West,WUA,0,
2020,Dublin Fingal West,Redress,0,
2020,Dublin Fingal West,PAW,0,
2020,Dublin Fingal West,CEN,0,
2020,Dublin Fingal West,LR,0,
2020,Dublin Fingal West,IND,4726,
2020,Dublin Mid-West,AON,,
2020,Dublin Mid-West,FF,6017,1
2020,Dublin Mid-West,FG,8284,1
2020,Dublin Mid-West,GP,2922,
2020,Dublin Mid-West,INDIRL,,
2020,Dublin Mid-West,IF,,
2020,Dublin Mid-West,IFP,,
2020,Dublin Mid-West,LAB,1721,
2020,Dublin Mid-West,NP,,
2020,Dublin Mid-West,PBPS,4221,1
2020,Dublin Mid-West,RTC,,
2020,Dublin Mid-West,SF,21513,2
2020,Dublin Mid-West,SD,60,
2020,Dublin Mid-West,IPP,,
2020,Dublin Mid-West,WUA,,
2020,Dublin Mid-West,WP,,
2020,Dublin Mid-West,Redress,,
2020,Dublin Mid-West,PAW,,
2020,Dublin Mid-West,CEN,,
2020,Dublin Mid-West,LR,,
2020,Dublin Mid-West,IND,4861,
2020,Dublin North-West,AON,67,
2020,Dublin North-West,FF,4553,1
2020,Dublin North-West,FG,4055,
2020,Dublin North-West,GP,1680,
2020,Dublin North-West,INDIRL,0,
2020,Dublin North-West,IF,0,
2020,Dublin North-West,IFP,35,
2020,Dublin North-West,LAB,1393,
2020,Dublin North-West,NP,445,
2020,Dublin North-West,PBPS,1252,
2020,Dublin North-West,RTC,0,
2020,Dublin North-West,SF,14996,1
2020,Dublin North-West,SD,6033,1
2020,Dublin North-West,IPP,0,
2020,Dublin North-West,WUA,0,
2020,Dublin North-West,WP,0,
2020,Dublin North-West,WUA,0,
2020,Dublin North-West,Redress,0,
2020,Dublin North-West,PAW,0,
2020,Dublin North-West,CEN,0,
2020,Dublin North-West,LR,0,
2020,Dublin North-West,IND,547,
2020,Dublin Rathdown,,,
2020,Dublin South-Central,,,
2020,Dublin South-West,,,
2020,Dublin West,,,
2020,Dún Laoghaire,,,
2020,Galway East,,,
2020,Galway West,,,
2020,Kerry,,,
2020,Kildare North,,,
2020,Kildare South,,,
2020,Laois,AON,66,
2020,Laois,FF,11569,1
2020,Laois,FG,8242,1
2020,Laois,GP,1955,
2020,Laois,INDIRL,0,
2020,Laois,IF,0,
2020,Laois,IFP,0,
2020,Laois,LAB,2033,
2020,Laois,NP,292,
2020,Laois,PBPS,669,
2020,Laois,RTC,0,
2020,Laois,SF,12715,1
2020,Laois,SD,70,
2020,Laois,IPP,0,
2020,Laois,WUA,0,
2020,Laois,WP,0,
2020,Laois,WUA,0,
2020,Laois,Redress,0,
2020,Laois,PAW,0,
2020,Laois,CEN,0,
2020,Laois,LR,0,
2020,Laois,IND,3261,
2020,Limerick City,,,
2020,Limerick County,,,
2020,Longford-Westmeath,,,
2020,Louth,AON,0,
2020,Louth,FF,9161,
2020,Louth,FG,10282,1
2020,Louth,GP,5171,
2020,Louth,INDIRL,0,
2020,Louth,IF,0,
2020,Louth,IFP,554,
2020,Louth,LAB,5475,1
2020,Louth,NP,0,
2020,Louth,PBPS,1073,
2020,Louth,RTC,0,
2020,Louth,SF,28401,2
2020,Louth,SD,0,
2020,Louth,IPP,0,
2020,Louth,WUA,0,
2020,Louth,WP,0,
2020,Louth,WUA,0,
2020,Louth,Redress,0,
2020,Louth,PAW,0,
2020,Louth,CEN,0,
2020,Louth,LR,0,
2020,Louth,IND,6656,1
2020,Mayo,AON,2803,
2020,Mayo,FF,16546,2
2020,Mayo,FG,26157,2
2020,Mayo,GP,4219,
2020,Mayo,INDIRL,0,
2020,Mayo,IF,0,
2020,Mayo,IFP,208,
2020,Mayo,LAB,248,
2020,Mayo,NP,0,
2020,Mayo,PBPS,724,
2020,Mayo,RTC,0,
2020,Mayo,SF,15023,1
2020,Mayo,SD,54,
2020,Mayo,IPP,0,
2020,Mayo,WUA,0,
2020,Mayo,WP,0,
2020,Mayo,WUA,0,
2020,Mayo,Redress,0,
2020,Mayo,PAW,0,
2020,Mayo,CEN,0,
2020,Mayo,LR,0,
2020,Mayo,IND,1080,
2020,Meath East,,,
2020,Meath West,AON,7052,1
2020,Meath West,FF,5986,
2020,Meath West,FG,9569,1
2020,Meath West,GP,1914,
2020,Meath West,INDIRL,0,
2020,Meath West,IF,0,
2020,Meath West,IFP,0,
2020,Meath West,LAB,0,
2020,Meath West,NP,0,
2020,Meath West,PBPS,0,
2020,Meath West,RTC,0,
2020,Meath West,SF,11300,1
2020,Meath West,SD,2204,
2020,Meath West,IPP,0,
2020,Meath West,WUA,0,
2020,Meath West,WP,0,
2020,Meath West,WUA,0,
2020,Meath West,Redress,0,
2020,Meath West,PAW,0,
2020,Meath West,CEN,0,
2020,Meath West,LR,0,
2020,Meath West,IND,0,
2020,Offaly,AON,18,
2020,Offaly,FF,12269,1
2020,Offaly,FG,4742,
2020,Offaly,GP,1828,
2020,Offaly,INDIRL,0,
2020,Offaly,IF,0,
2020,Offaly,IFP,0,
2020,Offaly,LAB,245,
2020,Offaly,NP,148,
2020,Offaly,PBPS,310,
2020,Offaly,RTC,0,
2020,Offaly,SF,6383,1
2020,Offaly,SD,11,
2020,Offaly,IPP,0,
2020,Offaly,WUA,0,
2020,Offaly,WP,0,
2020,Offaly,WUA,0,
2020,Offaly,Redress,0,
2020,Offaly,PAW,0,
2020,Offaly,CEN,0,
2020,Offaly,LR,0,
2020,Offaly,IND,10004,1
2020,Roscommon-Galway,AON,429,
2020,Roscommon-Galway,FF,7619,
2020,Roscommon-Galway,FG,5400,
2020,Roscommon-Galway,GP,1299,
2020,Roscommon-Galway,INDIRL,,
2020,Roscommon-Galway,IF,,
2020,Roscommon-Galway,IFP,,
2020,Roscommon-Galway,LAB,83,
2020,Roscommon-Galway,NP,250,
2020,Roscommon-Galway,PBPS,408,
2020,Roscommon-Galway,RTC,,
2020,Roscommon-Galway,SF,7732,1
2020,Roscommon-Galway,SD,,
2020,Roscommon-Galway,IPP,,
2020,Roscommon-Galway,WUA,,
2020,Roscommon-Galway,WP,,
2020,Roscommon-Galway,Redress,,
2020,Roscommon-Galway,PAW,,
2020,Roscommon-Galway,CEN,,
2020,Roscommon-Galway,LR,,
2020,Roscommon-Galway,IND,18407,2
2020,Sligo-Leitrim,,,
2020,Tipperary North,,,
2020,Tipperary South,AON,0,
2020,Tipperary South,FF,5401,
2020,Tipperary South,FG,6080,1
2020,Tipperary South,GP,1489,
2020,Tipperary South,INDIRL,0,
2020,Tipperary South,IF,0,
2020,Tipperary South,IFP,248,
2020,Tipperary South,LAB,1080,
2020,Tipperary South,NP,0,
2020,Tipperary South,PBPS,0,
2020,Tipperary South,RTC,0,
2020,Tipperary South,SF,6007,1
2020,Tipperary South,SD,0,
2020,Tipperary South,IPP,0,
2020,Tipperary South,WUA,0,
2020,Tipperary South,WP,0,
2020,Tipperary South,WUA,0,
2020,Tipperary South,Redress,0,
2020,Tipperary South,PAW,0,
2020,Tipperary South,CEN,0,
2020,Tipperary South,LR,0,
2020,Tipperary South,IND,16189,1
2020,Waterford,AON,1038,
2020,Waterford,FF,9338,1
2020,Waterford,FG,8763,
2020,Waterford,GP,3973,1
2020,Waterford,INDIRL,,
2020,Waterford,IF,,
2020,Waterford,IFP,,
2020,Waterford,LAB,3489,
2020,Waterford,NP,,
2020,Waterford,PBPS,1242,
2020,Waterford,RTC,,
2020,Waterford,SF,20557,1
2020,Waterford,SD,,
2020,Waterford,IPP,,
2020,Waterford,WUA,,
2020,Waterford,WP,,
2020,Waterford,Redress,,
2020,Waterford,PAW,,
2020,Waterford,CEN,,
2020,Waterford,LR,,
2020,Waterford,IND,5360,1
2020,Wexford,,,
2020,Wicklow,,,
2020,Wicklow-Wexford,AON,449,
2020,Wicklow-Wexford,FF,10071,1
2020,Wicklow-Wexford,FG,9634,1
2020,Wicklow-Wexford,GP,1206,
2020,Wicklow-Wexford,INDIRL,,
2020,Wicklow-Wexford,IF,,
2020,Wicklow-Wexford,IFP,,
2020,Wicklow-Wexford,LAB,1444,
2020,Wicklow-Wexford,NP,,
2020,Wicklow-Wexford,PBPS,475,
2020,Wicklow-Wexford,RTC,,
2020,Wicklow-Wexford,SF,10584,1
2020,Wicklow-Wexford,SD,780,
2020,Wicklow-Wexford,IPP,,
2020,Wicklow-Wexford,WUA,,
2020,Wicklow-Wexford,WP,,
2020,Wicklow-Wexford,Redress,,
2020,Wicklow-Wexford,PAW,,
2020,Wicklow-Wexford,CEN,,
2020,Wicklow-Wexford,LR,,
2020,Wicklow-Wexford,IND,2970,
