constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate,auto_return_candidate,auto_return_party,auto_return_reason
Carlow-Kilkenny,1,john mcguiness,John McGuinness,TRUE,FF,"9,794",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,jennifer murnaneoconnor,Jennifer Murnane O'Connor,TRUE,FF,"8,087",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,peterchap cleere,"Peter ""Chap"" Cleere",FALSE,FF,"7,194",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,catherine callaghan,Catherine Callaghan,FALSE,FG,"6,788",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,aine gladneyknox,Áine Gladney Knox,FALSE,SF,"6,479",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,natasha newsomedrennan,Natasha Newsome Drennan,FALSE,SF,"5,495",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,michael doyle,Michael Doyle,FALSE,FG,"4,955",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,david fitzgerald,David Fitzgerald,FALSE,FG,"4,743",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,patricia stephenson,Patricia Stephenson,FALSE,SD,"3,387",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,malcolm noonan,Malcolm Noonan,TRUE,GP,"2,919",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,gary oneill,Gary O'Neill,FALSE,AON,"2,378",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,sean ohargain,Seán Ó hArgáin,FALSE,LAB,"1,725",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,eugene mcguinness,Eugene McGuinness,FALSE,IND,"1,622",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,adrienne wallace,Adrienne Wallace,FALSE,PBPS,"1,465",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,luke oconnor,Luke O'Connor,FALSE,IND,"1,232",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,orla donohoe,Orla Donohoe,FALSE,IFP,737,running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,tom healy,Tom Healy,FALSE,IND,501,running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,david egan,David Egan,FALSE,LR,169,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,noelg walsh,Noel G. Walsh,FALSE,IND,65,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,1,john oleary,John O'Leary,FALSE,IND,26,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,john mcguiness,John McGuinness,TRUE,FF,"9,797",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,jennifer murnaneoconnor,Jennifer Murnane O'Connor,TRUE,FF,"8,094",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,peterchap cleere,"Peter ""Chap"" Cleere",FALSE,FF,"7,203",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,catherine callaghan,Catherine Callaghan,FALSE,FG,"6,797",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,aine gladneyknox,Áine Gladney Knox,FALSE,SF,"6,493",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,natasha newsomedrennan,Natasha Newsome Drennan,FALSE,SF,"5,501",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,michael doyle,Michael Doyle,FALSE,FG,"4,958",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,david fitzgerald,David Fitzgerald,FALSE,FG,"4,748",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,patricia stephenson,Patricia Stephenson,FALSE,SD,"3,395",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,malcolm noonan,Malcolm Noonan,TRUE,GP,"2,924",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,gary oneill,Gary O'Neill,FALSE,AON,"2,404",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,sean ohargain,Seán Ó hArgáin,FALSE,LAB,"1,732",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,eugene mcguinness,Eugene McGuinness,FALSE,IND,"1,631",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,adrienne wallace,Adrienne Wallace,FALSE,PBPS,"1,478",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,luke oconnor,Luke O'Connor,FALSE,IND,"1,281",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,orla donohoe,Orla Donohoe,FALSE,IFP,793,running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,tom healy,Tom Healy,FALSE,IND,522,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,david egan,David Egan,FALSE,LR,,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,noelg walsh,Noel G. Walsh,FALSE,IND,,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,2,john oleary,John O'Leary,FALSE,IND,,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,john mcguiness,John McGuinness,TRUE,FF,"9,841",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,jennifer murnaneoconnor,Jennifer Murnane O'Connor,TRUE,FF,"8,116",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,peterchap cleere,"Peter ""Chap"" Cleere",FALSE,FF,"7,235",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,catherine callaghan,Catherine Callaghan,FALSE,FG,"6,818",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,aine gladneyknox,Áine Gladney Knox,FALSE,SF,"6,516",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,natasha newsomedrennan,Natasha Newsome Drennan,FALSE,SF,"5,517",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,michael doyle,Michael Doyle,FALSE,FG,"4,970",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,david fitzgerald,David Fitzgerald,FALSE,FG,"4,762",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,patricia stephenson,Patricia Stephenson,FALSE,SD,"3,421",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,malcolm noonan,Malcolm Noonan,TRUE,GP,"2,948",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,gary oneill,Gary O'Neill,FALSE,AON,"2,473",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,sean ohargain,Seán Ó hArgáin,FALSE,LAB,"1,747",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,eugene mcguinness,Eugene McGuinness,FALSE,IND,"1,730",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,adrienne wallace,Adrienne Wallace,FALSE,PBPS,"1,492",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,luke oconnor,Luke O'Connor,FALSE,IND,"1,335",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,orla donohoe,Orla Donohoe,FALSE,IFP,818,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,tom healy,Tom Healy,FALSE,IND,,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,david egan,David Egan,FALSE,LR,,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,noelg walsh,Noel G. Walsh,FALSE,IND,,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,3,john oleary,John O'Leary,FALSE,IND,,eliminated,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
Carlow-Kilkenny,4,john mcguiness,John McGuinness,TRUE,FF,"9,856",running,5,"11,627","70,324","69,761",563,"120,821",NONE,NONE,NONE
