constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Belfast East,1,naomi long,Naomi Long,TRUE,AP,"8,195",elected,5,7209,43840,43248,592,70123
Belfast East,1,joanna bunting,Joanna Bunting,TRUE,DUP,"7,253",elected,5,7209,43840,43248,592,70123
Belfast East,1,david brooks,David Brooks,FALSE,DUP,"6,633",running,5,7209,43840,43248,592,70123
Belfast East,1,peter mcreynolds,Peter McReynolds,FALSE,AP,"5,820",running,5,7209,43840,43248,592,70123
Belfast East,1,andy allen,Andy Allen,TRUE,UUP,"5,281",running,5,7209,43840,43248,592,70123
Belfast East,1,john ross,John Ross,FALSE,TUV,"3,087",running,5,7209,43840,43248,592,70123
Belfast East,1,brian smyth,Brian Smyth,FALSE,GP,"2,302",running,5,7209,43840,43248,592,70123
Belfast East,1,mairead odonnell,Mairéad O'Donnell,FALSE,SF,"1,369",running,5,7209,43840,43248,592,70123
Belfast East,1,lauren kerr,Lauren Kerr,FALSE,UUP,"1,282",running,5,7209,43840,43248,592,70123
Belfast East,1,karl bennett,Karl Bennett,FALSE,PUP,970,running,5,7209,43840,43248,592,70123
Belfast East,1,hannah kenny,Hannah Kenny,FALSE,PBP,500,running,5,7209,43840,43248,592,70123
Belfast East,1,charlotte carson,Charlotte Carson,FALSE,SDLP,484,running,5,7209,43840,43248,592,70123
Belfast East,1,eoin macneill,Eoin MacNeill,FALSE,WP,72,running,5,7209,43840,43248,592,70123
Belfast East,2,naomi long,Naomi Long,TRUE,AP,,elected,5,7209,43840,43248,592,70123
Belfast East,2,joanna bunting,Joanna Bunting,TRUE,DUP,"7,253",elected,5,7209,43840,43248,592,70123
Belfast East,2,david brooks,David Brooks,FALSE,DUP,"6,646",running,5,7209,43840,43248,592,70123
Belfast East,2,peter mcreynolds,Peter McReynolds,FALSE,AP,"6,611",running,5,7209,43840,43248,592,70123
Belfast East,2,andy allen,Andy Allen,TRUE,UUP,"5,315",running,5,7209,43840,43248,592,70123
Belfast East,2,john ross,John Ross,FALSE,TUV,"3,091",running,5,7209,43840,43248,592,70123
Belfast East,2,brian smyth,Brian Smyth,FALSE,GP,"2,360",running,5,7209,43840,43248,592,70123
Belfast East,2,mairead odonnell,Mairéad O'Donnell,FALSE,SF,"1,385",running,5,7209,43840,43248,592,70123
Belfast East,2,lauren kerr,Lauren Kerr,FALSE,UUP,"1,298",running,5,7209,43840,43248,592,70123
Belfast East,2,karl bennett,Karl Bennett,FALSE,PUP,973,running,5,7209,43840,43248,592,70123
Belfast East,2,hannah kenny,Hannah Kenny,FALSE,PBP,510,running,5,7209,43840,43248,592,70123
Belfast East,2,charlotte carson,Charlotte Carson,FALSE,SDLP,507,running,5,7209,43840,43248,592,70123
Belfast East,2,eoin macneill,Eoin MacNeill,FALSE,WP,76,eliminated,5,7209,43840,43248,592,70123
Belfast East,3,naomi long,Naomi Long,TRUE,AP,,elected,5,7209,43840,43248,592,70123
Belfast East,3,joanna bunting,Joanna Bunting,TRUE,DUP,"7,253",elected,5,7209,43840,43248,592,70123
Belfast East,3,david brooks,David Brooks,FALSE,DUP,"6,646",running,5,7209,43840,43248,592,70123
Belfast East,3,peter mcreynolds,Peter McReynolds,FALSE,AP,"6,624",running,5,7209,43840,43248,592,70123
Belfast East,3,andy allen,Andy Allen,TRUE,UUP,"5,318",running,5,7209,43840,43248,592,70123
Belfast East,3,john ross,John Ross,FALSE,TUV,"3,092",running,5,7209,43840,43248,592,70123
Belfast East,3,brian smyth,Brian Smyth,FALSE,GP,"2,375",running,5,7209,43840,43248,592,70123
Belfast East,3,mairead odonnell,Mairéad O'Donnell,FALSE,SF,"1,390",running,5,7209,43840,43248,592,70123
Belfast East,3,lauren kerr,Lauren Kerr,FALSE,UUP,"1,299",running,5,7209,43840,43248,592,70123
Belfast East,3,karl bennett,Karl Bennett,FALSE,PUP,974,running,5,7209,43840,43248,592,70123
Belfast East,3,hannah kenny,Hannah Kenny,FALSE,PBP,534,running,5,7209,43840,43248,592,70123
Belfast East,3,charlotte carson,Charlotte Carson,FALSE,SDLP,517,running,5,7209,43840,43248,592,70123
Belfast East,3,eoin macneill,Eoin MacNeill,FALSE,WP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,4,naomi long,Naomi Long,TRUE,AP,,elected,5,7209,43840,43248,592,70123
Belfast East,4,joanna bunting,Joanna Bunting,TRUE,DUP,,elected,5,7209,43840,43248,592,70123
Belfast East,4,david brooks,David Brooks,FALSE,DUP,"6,646",running,5,7209,43840,43248,592,70123
Belfast East,4,peter mcreynolds,Peter McReynolds,FALSE,AP,"6,624",running,5,7209,43840,43248,592,70123
Belfast East,4,andy allen,Andy Allen,TRUE,UUP,"5,318",running,5,7209,43840,43248,592,70123
Belfast East,4,john ross,John Ross,FALSE,TUV,"3,092",running,5,7209,43840,43248,592,70123
Belfast East,4,brian smyth,Brian Smyth,FALSE,GP,"2,375",running,5,7209,43840,43248,592,70123
Belfast East,4,mairead odonnell,Mairéad O'Donnell,FALSE,SF,"1,390",running,5,7209,43840,43248,592,70123
Belfast East,4,lauren kerr,Lauren Kerr,FALSE,UUP,"1,299",running,5,7209,43840,43248,592,70123
Belfast East,4,karl bennett,Karl Bennett,FALSE,PUP,974,running,5,7209,43840,43248,592,70123
Belfast East,4,hannah kenny,Hannah Kenny,FALSE,PBP,534,running,5,7209,43840,43248,592,70123
Belfast East,4,charlotte carson,Charlotte Carson,FALSE,SDLP,517,eliminated,5,7209,43840,43248,592,70123
Belfast East,4,eoin macneill,Eoin MacNeill,FALSE,WP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,5,naomi long,Naomi Long,TRUE,AP,,elected,5,7209,43840,43248,592,70123
Belfast East,5,joanna bunting,Joanna Bunting,TRUE,DUP,,elected,5,7209,43840,43248,592,70123
Belfast East,5,david brooks,David Brooks,FALSE,DUP,"6,656",running,5,7209,43840,43248,592,70123
Belfast East,5,peter mcreynolds,Peter McReynolds,FALSE,AP,"6,812",running,5,7209,43840,43248,592,70123
Belfast East,5,andy allen,Andy Allen,TRUE,UUP,"5,346",running,5,7209,43840,43248,592,70123
Belfast East,5,john ross,John Ross,FALSE,TUV,"3,095",running,5,7209,43840,43248,592,70123
Belfast East,5,brian smyth,Brian Smyth,FALSE,GP,"2,488",running,5,7209,43840,43248,592,70123
Belfast East,5,mairead odonnell,Mairéad O'Donnell,FALSE,SF,"1,463",running,5,7209,43840,43248,592,70123
Belfast East,5,lauren kerr,Lauren Kerr,FALSE,UUP,"1,325",running,5,7209,43840,43248,592,70123
Belfast East,5,karl bennett,Karl Bennett,FALSE,PUP,976,running,5,7209,43840,43248,592,70123
Belfast East,5,hannah kenny,Hannah Kenny,FALSE,PBP,577,eliminated,5,7209,43840,43248,592,70123
Belfast East,5,charlotte carson,Charlotte Carson,FALSE,SDLP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,5,eoin macneill,Eoin MacNeill,FALSE,WP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,6,naomi long,Naomi Long,TRUE,AP,,elected,5,7209,43840,43248,592,70123
Belfast East,6,joanna bunting,Joanna Bunting,TRUE,DUP,,elected,5,7209,43840,43248,592,70123
Belfast East,6,david brooks,David Brooks,FALSE,DUP,"6,666",running,5,7209,43840,43248,592,70123
Belfast East,6,peter mcreynolds,Peter McReynolds,FALSE,AP,"6,956",running,5,7209,43840,43248,592,70123
Belfast East,6,andy allen,Andy Allen,TRUE,UUP,"5,374",running,5,7209,43840,43248,592,70123
Belfast East,6,john ross,John Ross,FALSE,TUV,"3,108",running,5,7209,43840,43248,592,70123
Belfast East,6,brian smyth,Brian Smyth,FALSE,GP,"2,761",running,5,7209,43840,43248,592,70123
Belfast East,6,mairead odonnell,Mairéad O'Donnell,FALSE,SF,"1,501",running,5,7209,43840,43248,592,70123
Belfast East,6,lauren kerr,Lauren Kerr,FALSE,UUP,"1,340",running,5,7209,43840,43248,592,70123
Belfast East,6,karl bennett,Karl Bennett,FALSE,PUP,992,eliminated,5,7209,43840,43248,592,70123
Belfast East,6,hannah kenny,Hannah Kenny,FALSE,PBP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,6,charlotte carson,Charlotte Carson,FALSE,SDLP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,6,eoin macneill,Eoin MacNeill,FALSE,WP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,7,naomi long,Naomi Long,TRUE,AP,,elected,5,7209,43840,43248,592,70123
Belfast East,7,joanna bunting,Joanna Bunting,TRUE,DUP,,elected,5,7209,43840,43248,592,70123
Belfast East,7,david brooks,David Brooks,FALSE,DUP,"6,995",running,5,7209,43840,43248,592,70123
Belfast East,7,peter mcreynolds,Peter McReynolds,FALSE,AP,"6,974",running,5,7209,43840,43248,592,70123
Belfast East,7,andy allen,Andy Allen,TRUE,UUP,"5,638",running,5,7209,43840,43248,592,70123
Belfast East,7,john ross,John Ross,FALSE,TUV,"3,354",running,5,7209,43840,43248,592,70123
Belfast East,7,brian smyth,Brian Smyth,FALSE,GP,"2,787",running,5,7209,43840,43248,592,70123
Belfast East,7,mairead odonnell,Mairéad O'Donnell,FALSE,SF,"1,504",running,5,7209,43840,43248,592,70123
Belfast East,7,lauren kerr,Lauren Kerr,FALSE,UUP,"1,406",eliminated,5,7209,43840,43248,592,70123
Belfast East,7,karl bennett,Karl Bennett,FALSE,PUP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,7,hannah kenny,Hannah Kenny,FALSE,PBP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,7,charlotte carson,Charlotte Carson,FALSE,SDLP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,7,eoin macneill,Eoin MacNeill,FALSE,WP,,eliminated,5,7209,43840,43248,592,70123
Belfast East,8,naomi long,Naomi Long,TRUE,AP,,elected,5,7209,43840,43248,592,70123
Belfast East,8,joanna bunting,Joanna Bunting,TRUE,DUP,,elected,5,7209,43840,43248,592,70123
