election,constituency,party,votes,seats
2022,Belfast East,SF,1173,
2022,Belfast East,SDLP,250,
2022,Belfast East,PBP,,
2022,Belfast East,AON,,
2022,Belfast East,WP,,
2022,Belfast East,INDN,,
2022,Belfast East,DUP,15167,2
2022,Belfast East,UUP,5275,1
2022,Belfast East,TUV,917,
2022,Belfast East,PUP,2658,
2022,Belfast East,CON,275,
2022,Belfast East,INDU,,
2022,Belfast East,AP,12669,2
2022,Belfast East,GP,1447,
2022,Belfast East,CCLA,442,
2022,Belfast East,IND,84,
2022,Belfast North,SF,12204,2
2022,Belfast North,SDLP,5431,1
2022,Belfast North,PBP,1559,
2022,Belfast North,AON,,
2022,Belfast North,WP,248,
2022,Belfast North,INDN,,
2022,Belfast North,DUP,13309,2
2022,Belfast North,UUP,2418,
2022,Belfast North,TUV,,
2022,Belfast North,PUP,2053,
2022,Belfast North,CON,,
2022,Belfast North,INDU,,
2022,Belfast North,AP,3487,
2022,Belfast North,GP,711,
2022,Belfast North,CCLA,,
2022,Belfast North,IND,66,
2022,Belfast South,SF,7610,1
2022,Belfast South,SDLP,8353,1
2022,Belfast South,PBP,760,
2022,Belfast South,AON,,
2022,Belfast South,WP,163,
2022,Belfast South,INDN,,
2022,Belfast South,DUP,8975,1
2022,Belfast South,UUP,3863,
2022,Belfast South,TUV,703,
2022,Belfast South,PUP,,
2022,Belfast South,CON,200,
2022,Belfast South,INDU,,
2022,Belfast South,AP,7649,1
2022,Belfast South,GP,4247,1
2022,Belfast South,CCLA,531,
2022,Belfast South,IND,,
2022,Belfast West,SF,24931,
2022,Belfast West,SDLP,3452,
2022,Belfast West,PBP,4903,
2022,Belfast West,AON,,
2022,Belfast West,WP,415,
2022,Belfast West,INDN,,
2022,Belfast West,DUP,4063,
2022,Belfast West,UUP,486,
2022,Belfast West,TUV,,
2022,Belfast West,PUP,,
2022,Belfast West,CON,,
2022,Belfast West,INDU,,
2022,Belfast West,AP,747,
2022,Belfast West,GP,251,
2022,Belfast West,CCLA,,
2022,Belfast West,IND,,
2022,East Antrim,,,
2022,East Derry,,,
2022,Fermanagh and South Tyrone,,,
2022,Foyle,,,
2022,Lagan Valley,,,
2022,Mid Ulster,,,
2022,Newry and Armagh,SF,26532,3
2022,Newry and Armagh,SDLP,8983,1
2022,Newry and Armagh,PBP,,
2022,Newry and Armagh,AON,,
2022,Newry and Armagh,WP,,
2022,Newry and Armagh,INDN,,
2022,Newry and Armagh,DUP,9760,1
2022,Newry and Armagh,UUP,7256,
2022,Newry and Armagh,TUV,,
2022,Newry and Armagh,PUP,,
2022,Newry and Armagh,CON,,
2022,Newry and Armagh,INDU,,
2022,Newry and Armagh,AP,1418,
2022,Newry and Armagh,GP,265,
2022,Newry and Armagh,CCLA,,
2022,Newry and Armagh,CISTA,704,
2022,Newry and Armagh,IND,,
2022,North Antrim,SF,7600,1
2022,North Antrim,SDLP,3519,
2022,North Antrim,PBP,,
2022,North Antrim,AON,,
2022,North Antrim,WP,,
2022,North Antrim,INDN,435,
2022,North Antrim,DUP,19540,
2022,North Antrim,UUP,6022,
2022,North Antrim,TUV,7719,
2022,North Antrim,PUP,,
2022,North Antrim,CON,,
2022,North Antrim,INDU,,
2022,North Antrim,AP,2616,
2022,North Antrim,GP,530,
2022,North Antrim,CCLA,,
2022,North Antrim,CISTA,,
2022,North Antrim,IND,113,
2022,North Antrim,,,
2022,North Antrim,,,
2022,North Antrim,,,
2022,North Antrim,,,
2022,North Down,,,
2022,South Antrim,,,
2022,South Down,,,
2022,Strangford,,,
2022,Upper Bann,,,
2022,West Tyrone,SF,21321,3
2022,West Tyrone,SDLP,6283,1
2022,West Tyrone,PBP,,
2022,West Tyrone,AON,,
2022,West Tyrone,WP,,
2022,West Tyrone,INDN,,
2022,West Tyrone,DUP,9064,1
2022,West Tyrone,UUP,3654,
2022,West Tyrone,TUV,851,
2022,West Tyrone,PUP,,
2022,West Tyrone,CON,27,
2022,West Tyrone,INDU,,
2022,West Tyrone,AP,1252,
2022,West Tyrone,GP,412,
2022,West Tyrone,CCLA,,
2022,West Tyrone,IND,1461,
